,Phase,AUC,F1_C0,F1_C1,MSE,Prec_C0,Prec_C1,Recal_C0,Recal_C1,LemmVsStem,TrValRatio,nGrams,Balanced,Vocabulary,Time,Ratio,nFeats
6,Tr-GaussianNB,0.821,0.979,0.693,0.039,0.976,0.73,0.983,0.66,5,0.3,2,True,False,1.8,1:1,1450
7,Val-GaussianNB,0.8540000000000001,0.978,0.723,0.04,0.979,0.715,0.977,0.731,5,0.3,2,True,False,1.8,1:1,1450
8,Tr-AdaBoostClassifier,0.7809999999999999,0.981,0.675,0.036000000000000004,0.97,0.83,0.992,0.569,5,0.3,2,True,False,35.2,1:1,1450
9,Val-AdaBoostClassifier,0.7929999999999999,0.981,0.703,0.036000000000000004,0.969,0.865,0.993,0.593,5,0.3,2,True,False,35.2,1:1,1450
10,Val Soft,0.8320000000000001,0.984,0.765,0.03,0.975,0.89,0.994,0.6709999999999999,5,0.3,2,True,False,4.2,1:1,1450
11,Val Hard,0.8009999999999999,0.983,0.732,0.032,0.97,0.923,0.996,0.606,5,0.3,2,True,False,4.3,1:1,1450
0,Tr-RandomForestClassifier,0.7340000000000001,0.979,0.607,0.041,0.964,0.8420000000000001,0.994,0.474,0,0.3,3,True,False,7.1,1:1,1450
1,Val-RandomForestClassifier,0.748,0.979,0.647,0.039,0.963,0.915,0.996,0.5,0,0.3,3,True,False,7.1,1:1,1450
2,Tr-DecisionTreeClassifier,0.83,0.981,0.716,0.035,0.977,0.7609999999999999,0.985,0.675,0,0.3,3,True,False,12.1,1:1,1450
3,Val-DecisionTreeClassifier,0.767,0.977,0.6409999999999999,0.044,0.966,0.7759999999999999,0.988,0.546,0,0.3,3,True,False,12.1,1:1,1450
4,Tr-SGDClassifier,0.58,0.971,0.275,0.057,0.944,0.893,0.999,0.162,0,0.3,3,True,False,1.4,1:1,1450
5,Val-SGDClassifier,0.684,0.975,0.528,0.048,0.953,0.92,0.997,0.37,0,0.3,3,True,False,1.4,1:1,1450
6,Tr-GaussianNB,0.8440000000000001,0.984,0.7559999999999999,0.03,0.979,0.8220000000000001,0.989,0.6990000000000001,0,0.3,3,True,False,1.8,1:1,1450
7,Val-GaussianNB,0.833,0.98,0.728,0.037000000000000005,0.975,0.782,0.985,0.6809999999999999,0,0.3,3,True,False,1.8,1:1,1450
8,Tr-AdaBoostClassifier,0.767,0.979,0.645,0.039,0.968,0.794,0.99,0.5429999999999999,0,0.3,3,True,False,35.5,1:1,1450
9,Val-AdaBoostClassifier,0.804,0.982,0.7190000000000001,0.035,0.971,0.8640000000000001,0.992,0.616,0,0.3,3,True,False,35.5,1:1,1450
10,Val Soft,0.7959999999999999,0.982,0.7190000000000001,0.034,0.97,0.902,0.995,0.597,0,0.3,3,True,False,4.2,1:1,1450
11,Val Hard,0.787,0.982,0.708,0.034,0.968,0.912,0.996,0.579,0,0.3,3,True,False,4.2,1:1,1450
0,Tr-RandomForestClassifier,0.7290000000000001,0.978,0.596,0.042,0.963,0.83,0.993,0.465,1,0.3,3,True,False,7.9,1:1,1450
1,Val-RandomForestClassifier,0.7509999999999999,0.98,0.653,0.039,0.963,0.924,0.997,0.505,1,0.3,3,True,False,7.9,1:1,1450
2,Tr-DecisionTreeClassifier,0.8290000000000001,0.981,0.7170000000000001,0.035,0.977,0.768,0.986,0.6729999999999999,1,0.3,3,True,False,12.0,1:1,1450
3,Val-DecisionTreeClassifier,0.807,0.978,0.6829999999999999,0.042,0.972,0.747,0.983,0.63,1,0.3,3,True,False,12.0,1:1,1450
4,Tr-SGDClassifier,0.589,0.971,0.3,0.055,0.945,0.902,0.999,0.18,1,0.3,3,True,False,1.4,1:1,1450
5,Val-SGDClassifier,0.7,0.976,0.561,0.045,0.956,0.926,0.997,0.403,1,0.3,3,True,False,1.4,1:1,1450
6,Tr-GaussianNB,0.838,0.984,0.746,0.031,0.978,0.8170000000000001,0.989,0.6859999999999999,1,0.3,3,True,False,2.3,1:1,1450
7,Val-GaussianNB,0.8340000000000001,0.979,0.72,0.038,0.976,0.759,0.983,0.685,1,0.3,3,True,False,2.3,1:1,1450
8,Tr-AdaBoostClassifier,0.785,0.981,0.677,0.037000000000000005,0.971,0.812,0.991,0.58,1,0.3,3,True,False,34.8,1:1,1450
9,Val-AdaBoostClassifier,0.8140000000000001,0.982,0.735,0.033,0.972,0.873,0.993,0.634,1,0.3,3,True,False,34.8,1:1,1450
10,Val Soft,0.804,0.982,0.723,0.034,0.971,0.875,0.993,0.616,1,0.3,3,True,False,4.3,1:1,1450
11,Val Hard,0.799,0.983,0.726,0.033,0.97,0.915,0.996,0.602,1,0.3,3,True,False,4.1,1:1,1450
0,Tr-RandomForestClassifier,0.733,0.979,0.606,0.04,0.964,0.848,0.994,0.472,2,0.3,3,True,False,7.3,1:1,1450
1,Val-RandomForestClassifier,0.7559999999999999,0.979,0.6509999999999999,0.04,0.964,0.875,0.994,0.519,2,0.3,3,True,False,7.3,1:1,1450
2,Tr-DecisionTreeClassifier,0.821,0.981,0.705,0.036000000000000004,0.976,0.7609999999999999,0.985,0.6559999999999999,2,0.3,3,True,False,11.7,1:1,1450
3,Val-DecisionTreeClassifier,0.8109999999999999,0.978,0.688,0.042,0.972,0.746,0.983,0.639,2,0.3,3,True,False,11.7,1:1,1450
4,Tr-SGDClassifier,0.589,0.971,0.3,0.055,0.945,0.902,0.999,0.18,2,0.3,3,True,False,1.5,1:1,1450
5,Val-SGDClassifier,0.698,0.976,0.557,0.046,0.955,0.925,0.997,0.398,2,0.3,3,True,False,1.5,1:1,1450
6,Tr-GaussianNB,0.8370000000000001,0.984,0.745,0.031,0.978,0.8190000000000001,0.989,0.684,2,0.3,3,True,False,1.8,1:1,1450
7,Val-GaussianNB,0.8340000000000001,0.98,0.722,0.038,0.976,0.763,0.983,0.685,2,0.3,3,True,False,1.8,1:1,1450
8,Tr-AdaBoostClassifier,0.7859999999999999,0.981,0.6779999999999999,0.036000000000000004,0.971,0.813,0.991,0.5820000000000001,2,0.3,3,True,False,36.0,1:1,1450
9,Val-AdaBoostClassifier,0.8140000000000001,0.982,0.735,0.033,0.972,0.873,0.993,0.634,2,0.3,3,True,False,36.0,1:1,1450
10,Val Soft,0.816,0.983,0.738,0.033,0.973,0.873,0.993,0.639,2,0.3,3,True,False,4.8,1:1,1450
11,Val Hard,0.8009999999999999,0.983,0.728,0.033,0.97,0.91,0.995,0.606,2,0.3,3,True,False,4.3,1:1,1450
0,Tr-RandomForestClassifier,0.745,0.98,0.627,0.039,0.965,0.8540000000000001,0.994,0.496,5,0.3,3,True,False,8.1,1:1,1450
1,Val-RandomForestClassifier,0.706,0.976,0.564,0.046,0.957,0.8740000000000001,0.995,0.417,5,0.3,3,True,False,8.1,1:1,1450
2,Tr-DecisionTreeClassifier,0.815,0.981,0.705,0.036000000000000004,0.975,0.78,0.987,0.643,5,0.3,3,True,False,14.0,1:1,1450
3,Val-DecisionTreeClassifier,0.789,0.977,0.6629999999999999,0.043,0.969,0.753,0.985,0.593,5,0.3,3,True,False,14.0,1:1,1450
4,Tr-SGDClassifier,0.5760000000000001,0.97,0.262,0.057,0.944,0.899,0.999,0.154,5,0.3,3,True,False,1.6,1:1,1450
5,Val-SGDClassifier,0.684,0.975,0.528,0.048,0.953,0.92,0.997,0.37,5,0.3,3,True,False,1.6,1:1,1450
6,Tr-GaussianNB,0.8390000000000001,0.984,0.747,0.031,0.978,0.8170000000000001,0.989,0.688,5,0.3,3,True,False,1.9,1:1,1450
7,Val-GaussianNB,0.835,0.98,0.7240000000000001,0.038,0.976,0.767,0.984,0.685,5,0.3,3,True,False,1.9,1:1,1450
8,Tr-AdaBoostClassifier,0.779,0.98,0.669,0.037000000000000005,0.97,0.816,0.991,0.5670000000000001,5,0.3,3,True,False,37.8,1:1,1450
9,Val-AdaBoostClassifier,0.79,0.98,0.696,0.037000000000000005,0.969,0.852,0.992,0.588,5,0.3,3,True,False,37.8,1:1,1450
10,Val Soft,0.7959999999999999,0.982,0.715,0.034,0.97,0.89,0.994,0.597,5,0.3,3,True,False,4.6,1:1,1450
11,Val Hard,0.782,0.981,0.691,0.037000000000000005,0.967,0.879,0.994,0.569,5,0.3,3,True,False,4.4,1:1,1450
0,Tr-RandomForestClassifier,0.778,0.982,0.6809999999999999,0.035,0.97,0.861,0.994,0.563,0,0.3,1,True,False,11.1,1:1,1600
1,Val-RandomForestClassifier,0.799,0.981,0.7120000000000001,0.035,0.97,0.862,0.992,0.606,0,0.3,1,True,False,11.1,1:1,1600
2,Tr-DecisionTreeClassifier,0.847,0.98,0.72,0.037000000000000005,0.98,0.728,0.981,0.7120000000000001,0,0.3,1,True,False,49.8,1:1,1600
3,Val-DecisionTreeClassifier,0.86,0.982,0.759,0.034,0.98,0.7829999999999999,0.984,0.736,0,0.3,1,True,False,49.8,1:1,1600
4,Tr-SGDClassifier,0.711,0.978,0.569,0.043,0.961,0.857,0.995,0.426,0,0.3,1,True,False,1.9,1:1,1600
5,Val-SGDClassifier,0.7440000000000001,0.979,0.639,0.04,0.962,0.914,0.996,0.491,0,0.3,1,True,False,1.9,1:1,1600
6,Tr-GaussianNB,0.8079999999999999,0.919,0.411,0.142,0.98,0.28300000000000003,0.866,0.7509999999999999,0,0.3,1,True,False,2.3,1:1,1600
7,Val-GaussianNB,0.826,0.897,0.404,0.17600000000000002,0.984,0.267,0.823,0.8290000000000001,0,0.3,1,True,False,2.3,1:1,1600
8,Tr-AdaBoostClassifier,0.768,0.98,0.652,0.038,0.969,0.81,0.991,0.545,0,0.3,1,True,False,42.3,1:1,1600
9,Val-AdaBoostClassifier,0.768,0.979,0.669,0.039,0.965,0.873,0.994,0.542,0,0.3,1,True,False,42.3,1:1,1600
10,Val Soft,0.87,0.986,0.8,0.027000000000000003,0.981,0.857,0.99,0.75,0,0.3,1,True,False,7.2,1:1,1600
11,Val Hard,0.823,0.983,0.752,0.031,0.974,0.887,0.994,0.653,0,0.3,1,True,False,6.9,1:1,1600
0,Tr-RandomForestClassifier,0.7829999999999999,0.981,0.68,0.036000000000000004,0.971,0.836,0.992,0.574,1,0.3,1,True,False,10.8,1:1,1600
1,Val-RandomForestClassifier,0.802,0.982,0.721,0.034,0.971,0.88,0.994,0.611,1,0.3,1,True,False,10.8,1:1,1600
2,Tr-DecisionTreeClassifier,0.8540000000000001,0.982,0.736,0.034,0.981,0.748,0.983,0.725,1,0.3,1,True,False,48.2,1:1,1600
3,Val-DecisionTreeClassifier,0.868,0.981,0.758,0.035,0.981,0.762,0.982,0.755,1,0.3,1,True,False,48.2,1:1,1600
4,Tr-SGDClassifier,0.713,0.978,0.5710000000000001,0.043,0.961,0.847,0.994,0.431,1,0.3,1,True,False,1.9,1:1,1600
5,Val-SGDClassifier,0.7509999999999999,0.979,0.6509999999999999,0.039,0.963,0.916,0.996,0.505,1,0.3,1,True,False,1.9,1:1,1600
6,Tr-GaussianNB,0.81,0.911,0.396,0.155,0.981,0.266,0.85,0.7709999999999999,1,0.3,1,True,False,2.8,1:1,1600
7,Val-GaussianNB,0.81,0.882,0.373,0.198,0.983,0.241,0.8,0.8190000000000001,1,0.3,1,True,False,2.8,1:1,1600
8,Tr-AdaBoostClassifier,0.773,0.98,0.664,0.037000000000000005,0.969,0.828,0.992,0.5539999999999999,1,0.3,1,True,False,39.6,1:1,1600
9,Val-AdaBoostClassifier,0.792,0.98,0.698,0.037000000000000005,0.969,0.848,0.992,0.593,1,0.3,1,True,False,39.6,1:1,1600
10,Val Soft,0.877,0.986,0.807,0.026,0.982,0.855,0.99,0.764,1,0.3,1,True,False,6.8,1:1,1600
11,Val Hard,0.8320000000000001,0.984,0.765,0.03,0.975,0.89,0.994,0.6709999999999999,1,0.3,1,True,False,6.6,1:1,1600
0,Tr-RandomForestClassifier,0.7759999999999999,0.981,0.674,0.036000000000000004,0.97,0.8490000000000001,0.993,0.5579999999999999,2,0.3,1,True,False,366.2,1:1,1600
1,Val-RandomForestClassifier,0.8,0.982,0.716,0.035,0.97,0.873,0.993,0.606,2,0.3,1,True,False,366.2,1:1,1600
2,Tr-DecisionTreeClassifier,0.851,0.982,0.733,0.035,0.98,0.748,0.983,0.7190000000000001,2,0.3,1,True,False,58.1,1:1,1600
3,Val-DecisionTreeClassifier,0.871,0.982,0.763,0.034,0.981,0.7659999999999999,0.982,0.759,2,0.3,1,True,False,58.1,1:1,1600
4,Tr-SGDClassifier,0.715,0.978,0.575,0.042,0.961,0.848,0.994,0.435,2,0.3,1,True,False,2.0,1:1,1600
5,Val-SGDClassifier,0.7509999999999999,0.979,0.6509999999999999,0.039,0.963,0.916,0.996,0.505,2,0.3,1,True,False,2.0,1:1,1600
6,Tr-GaussianNB,0.81,0.911,0.395,0.156,0.981,0.266,0.85,0.7709999999999999,2,0.3,1,True,False,2.6,1:1,1600
7,Val-GaussianNB,0.81,0.882,0.373,0.198,0.983,0.241,0.8,0.8190000000000001,2,0.3,1,True,False,2.6,1:1,1600
8,Tr-AdaBoostClassifier,0.7759999999999999,0.981,0.67,0.036000000000000004,0.97,0.833,0.992,0.561,2,0.3,1,True,False,44.1,1:1,1600
9,Val-AdaBoostClassifier,0.792,0.98,0.696,0.037000000000000005,0.969,0.8420000000000001,0.991,0.593,2,0.3,1,True,False,44.1,1:1,1600
10,Val Soft,0.868,0.986,0.799,0.027000000000000003,0.98,0.861,0.991,0.745,2,0.3,1,True,False,9.1,1:1,1600
11,Val Hard,0.8290000000000001,0.983,0.754,0.031,0.975,0.867,0.992,0.667,2,0.3,1,True,False,9.2,1:1,1600
0,Tr-RandomForestClassifier,0.779,0.981,0.6759999999999999,0.036000000000000004,0.97,0.8420000000000001,0.993,0.565,5,0.3,1,True,False,14.3,1:1,1600
1,Val-RandomForestClassifier,0.799,0.981,0.71,0.036000000000000004,0.97,0.856,0.992,0.606,5,0.3,1,True,False,14.3,1:1,1600
2,Tr-DecisionTreeClassifier,0.8390000000000001,0.98,0.711,0.037000000000000005,0.979,0.725,0.981,0.6970000000000001,5,0.3,1,True,False,63.7,1:1,1600
3,Val-DecisionTreeClassifier,0.853,0.981,0.746,0.035,0.979,0.772,0.983,0.722,5,0.3,1,True,False,63.7,1:1,1600
4,Tr-SGDClassifier,0.7,0.977,0.5489999999999999,0.044,0.959,0.8540000000000001,0.995,0.405,5,0.3,1,True,False,2.8,1:1,1600
5,Val-SGDClassifier,0.737,0.978,0.628,0.041,0.961,0.92,0.997,0.477,5,0.3,1,True,False,2.8,1:1,1600
6,Tr-GaussianNB,0.8109999999999999,0.923,0.421,0.136,0.98,0.292,0.872,0.7509999999999999,5,0.3,1,True,False,2.5,1:1,1600
7,Val-GaussianNB,0.8240000000000001,0.899,0.407,0.172,0.983,0.271,0.8290000000000001,0.8190000000000001,5,0.3,1,True,False,2.5,1:1,1600
8,Tr-AdaBoostClassifier,0.772,0.981,0.6679999999999999,0.036000000000000004,0.969,0.8440000000000001,0.993,0.552,5,0.3,1,True,False,42.6,1:1,1600
9,Val-AdaBoostClassifier,0.7909999999999999,0.981,0.7020000000000001,0.036000000000000004,0.969,0.87,0.993,0.588,5,0.3,1,True,False,42.6,1:1,1600
10,Val Soft,0.86,0.984,0.78,0.03,0.979,0.836,0.989,0.731,5,0.3,1,True,False,9.1,1:1,1600
11,Val Hard,0.823,0.983,0.75,0.031,0.974,0.8809999999999999,0.993,0.653,5,0.3,1,True,False,8.6,1:1,1600
0,Tr-RandomForestClassifier,0.7240000000000001,0.979,0.602,0.039,0.963,0.901,0.996,0.452,0,0.3,2,True,False,9.0,1:1,1600
1,Val-RandomForestClassifier,0.726,0.976,0.596,0.045,0.959,0.853,0.994,0.458,0,0.3,2,True,False,9.0,1:1,1600
2,Tr-DecisionTreeClassifier,0.82,0.981,0.7070000000000001,0.036000000000000004,0.976,0.77,0.986,0.654,0,0.3,2,True,False,21.4,1:1,1600
3,Val-DecisionTreeClassifier,0.831,0.981,0.7340000000000001,0.035,0.975,0.802,0.987,0.6759999999999999,0,0.3,2,True,False,21.4,1:1,1600
4,Tr-SGDClassifier,0.619,0.973,0.379,0.052000000000000005,0.949,0.895,0.998,0.24,0,0.3,2,True,False,1.7,1:1,1600
5,Val-SGDClassifier,0.7190000000000001,0.977,0.597,0.043,0.958,0.931,0.997,0.44,0,0.3,2,True,False,1.7,1:1,1600
6,Tr-GaussianNB,0.8009999999999999,0.975,0.639,0.047,0.974,0.652,0.976,0.626,0,0.3,2,True,False,2.4,1:1,1600
7,Val-GaussianNB,0.861,0.978,0.727,0.04,0.98,0.7090000000000001,0.976,0.745,0,0.3,2,True,False,2.4,1:1,1600
8,Tr-AdaBoostClassifier,0.774,0.98,0.6579999999999999,0.038,0.969,0.8009999999999999,0.99,0.5579999999999999,0,0.3,2,True,False,40.7,1:1,1600
9,Val-AdaBoostClassifier,0.777,0.981,0.688,0.037000000000000005,0.967,0.89,0.995,0.56,0,0.3,2,True,False,40.7,1:1,1600
10,Val Soft,0.821,0.983,0.7490000000000001,0.031,0.973,0.8859999999999999,0.994,0.648,0,0.3,2,True,False,5.1,1:1,1600
11,Val Hard,0.778,0.981,0.6890000000000001,0.036000000000000004,0.967,0.8959999999999999,0.995,0.56,0,0.3,2,True,False,5.5,1:1,1600
0,Tr-RandomForestClassifier,0.743,0.98,0.631,0.038,0.965,0.88,0.995,0.491,1,0.3,2,True,False,8.5,1:1,1600
1,Val-RandomForestClassifier,0.741,0.978,0.631,0.041,0.961,0.897,0.996,0.486,1,0.3,2,True,False,8.5,1:1,1600
2,Tr-DecisionTreeClassifier,0.846,0.982,0.736,0.034,0.979,0.7659999999999999,0.985,0.708,1,0.3,2,True,False,21.7,1:1,1600
3,Val-DecisionTreeClassifier,0.8390000000000001,0.982,0.747,0.034,0.976,0.8140000000000001,0.988,0.69,1,0.3,2,True,False,21.7,1:1,1600
4,Tr-SGDClassifier,0.633,0.974,0.413,0.05,0.951,0.899,0.998,0.268,1,0.3,2,True,False,2.3,1:1,1600
5,Val-SGDClassifier,0.73,0.979,0.621,0.041,0.96,0.943,0.998,0.463,1,0.3,2,True,False,2.3,1:1,1600
6,Tr-GaussianNB,0.792,0.975,0.627,0.048,0.972,0.647,0.977,0.608,1,0.3,2,True,False,2.9,1:1,1600
7,Val-GaussianNB,0.8590000000000001,0.978,0.727,0.04,0.98,0.7140000000000001,0.977,0.741,1,0.3,2,True,False,2.9,1:1,1600
8,Tr-AdaBoostClassifier,0.779,0.981,0.674,0.036000000000000004,0.97,0.8370000000000001,0.992,0.565,1,0.3,2,True,False,41.1,1:1,1600
9,Val-AdaBoostClassifier,0.795,0.981,0.711,0.035,0.97,0.878,0.994,0.597,1,0.3,2,True,False,41.1,1:1,1600
10,Val Soft,0.83,0.984,0.76,0.03,0.975,0.883,0.993,0.667,1,0.3,2,True,False,5.3,1:1,1600
11,Val Hard,0.797,0.983,0.725,0.033,0.97,0.921,0.996,0.597,1,0.3,2,True,False,5.2,1:1,1600
0,Tr-RandomForestClassifier,0.723,0.979,0.594,0.041,0.962,0.8740000000000001,0.995,0.45,2,0.3,2,True,False,9.0,1:1,1600
1,Val-RandomForestClassifier,0.7559999999999999,0.978,0.647,0.041,0.964,0.862,0.994,0.519,2,0.3,2,True,False,9.0,1:1,1600
2,Tr-DecisionTreeClassifier,0.843,0.982,0.735,0.033,0.979,0.7709999999999999,0.985,0.701,2,0.3,2,True,False,21.7,1:1,1600
3,Val-DecisionTreeClassifier,0.8490000000000001,0.982,0.753,0.034,0.978,0.7979999999999999,0.986,0.713,2,0.3,2,True,False,21.7,1:1,1600
4,Tr-SGDClassifier,0.633,0.974,0.413,0.05,0.951,0.899,0.998,0.268,2,0.3,2,True,False,2.1,1:1,1600
5,Val-SGDClassifier,0.73,0.979,0.621,0.041,0.96,0.943,0.998,0.463,2,0.3,2,True,False,2.1,1:1,1600
6,Tr-GaussianNB,0.792,0.974,0.627,0.048,0.972,0.6459999999999999,0.976,0.608,2,0.3,2,True,False,2.3,1:1,1600
7,Val-GaussianNB,0.8590000000000001,0.978,0.727,0.04,0.98,0.7140000000000001,0.977,0.741,2,0.3,2,True,False,2.3,1:1,1600
8,Tr-AdaBoostClassifier,0.778,0.981,0.674,0.036000000000000004,0.97,0.8340000000000001,0.992,0.565,2,0.3,2,True,False,40.7,1:1,1600
9,Val-AdaBoostClassifier,0.795,0.981,0.711,0.035,0.97,0.878,0.994,0.597,2,0.3,2,True,False,40.7,1:1,1600
10,Val Soft,0.8390000000000001,0.984,0.769,0.03,0.976,0.8759999999999999,0.992,0.685,2,0.3,2,True,False,5.5,1:1,1600
11,Val Hard,0.8079999999999999,0.983,0.74,0.031,0.971,0.918,0.996,0.62,2,0.3,2,True,False,5.3,1:1,1600
0,Tr-RandomForestClassifier,0.7040000000000001,0.978,0.56,0.043,0.96,0.8759999999999999,0.996,0.411,5,0.3,2,True,False,8.5,1:1,1600
1,Val-RandomForestClassifier,0.74,0.977,0.619,0.043,0.961,0.8540000000000001,0.994,0.486,5,0.3,2,True,False,8.5,1:1,1600
2,Tr-DecisionTreeClassifier,0.8240000000000001,0.981,0.711,0.036000000000000004,0.976,0.767,0.986,0.662,5,0.3,2,True,False,20.9,1:1,1600
3,Val-DecisionTreeClassifier,0.8109999999999999,0.978,0.688,0.042,0.972,0.746,0.983,0.639,5,0.3,2,True,False,20.9,1:1,1600
4,Tr-SGDClassifier,0.607,0.972,0.348,0.054000000000000006,0.947,0.885,0.998,0.21600000000000005,5,0.3,2,True,False,2.0,1:1,1600
5,Val-SGDClassifier,0.7120000000000001,0.977,0.584,0.044,0.957,0.929,0.997,0.426,5,0.3,2,True,False,2.0,1:1,1600
6,Tr-GaussianNB,0.799,0.975,0.637,0.047,0.973,0.654,0.977,0.621,5,0.3,2,True,False,2.1,1:1,1600
7,Val-GaussianNB,0.863,0.978,0.726,0.041,0.981,0.7040000000000001,0.976,0.75,5,0.3,2,True,False,2.1,1:1,1600
8,Tr-AdaBoostClassifier,0.778,0.981,0.674,0.036000000000000004,0.97,0.8390000000000001,0.992,0.563,5,0.3,2,True,False,41.8,1:1,1600
9,Val-AdaBoostClassifier,0.792,0.98,0.696,0.037000000000000005,0.969,0.8420000000000001,0.991,0.593,5,0.3,2,True,False,41.8,1:1,1600
10,Val Soft,0.8340000000000001,0.984,0.76,0.031,0.975,0.8690000000000001,0.992,0.6759999999999999,5,0.3,2,True,False,5.5,1:1,1600
11,Val Hard,0.7959999999999999,0.982,0.7170000000000001,0.034,0.97,0.8959999999999999,0.995,0.597,5,0.3,2,True,False,5.1,1:1,1600
0,Tr-RandomForestClassifier,0.728,0.978,0.596,0.041,0.963,0.836,0.994,0.463,0,0.3,3,True,False,8.2,1:1,1600
1,Val-RandomForestClassifier,0.743,0.978,0.633,0.041,0.962,0.8909999999999999,0.995,0.491,0,0.3,3,True,False,8.2,1:1,1600
2,Tr-DecisionTreeClassifier,0.8240000000000001,0.981,0.71,0.036000000000000004,0.976,0.765,0.986,0.662,0,0.3,3,True,False,13.9,1:1,1600
3,Val-DecisionTreeClassifier,0.78,0.977,0.6559999999999999,0.043,0.968,0.765,0.986,0.574,0,0.3,3,True,False,13.9,1:1,1600
4,Tr-SGDClassifier,0.579,0.97,0.272,0.057,0.944,0.892,0.999,0.16,0,0.3,3,True,False,2.0,1:1,1600
5,Val-SGDClassifier,0.684,0.975,0.528,0.048,0.953,0.92,0.997,0.37,0,0.3,3,True,False,2.0,1:1,1600
6,Tr-GaussianNB,0.841,0.984,0.7509999999999999,0.03,0.979,0.821,0.989,0.693,0,0.3,3,True,False,2.2,1:1,1600
7,Val-GaussianNB,0.8320000000000001,0.98,0.722,0.038,0.975,0.77,0.984,0.6809999999999999,0,0.3,3,True,False,2.2,1:1,1600
8,Tr-AdaBoostClassifier,0.769,0.979,0.647,0.039,0.969,0.7909999999999999,0.99,0.5479999999999999,0,0.3,3,True,False,38.7,1:1,1600
9,Val-AdaBoostClassifier,0.804,0.982,0.7190000000000001,0.035,0.971,0.8640000000000001,0.992,0.616,0,0.3,3,True,False,38.7,1:1,1600
10,Val Soft,0.8029999999999999,0.982,0.725,0.033,0.971,0.892,0.994,0.611,0,0.3,3,True,False,4.7,1:1,1600
11,Val Hard,0.789,0.982,0.708,0.035,0.969,0.9,0.995,0.583,0,0.3,3,True,False,4.4,1:1,1600
0,Tr-RandomForestClassifier,0.722,0.978,0.586,0.042,0.962,0.8390000000000001,0.994,0.45,1,0.3,3,True,False,8.5,1:1,1600
1,Val-RandomForestClassifier,0.755,0.979,0.653,0.039,0.963,0.895,0.995,0.514,1,0.3,3,True,False,8.5,1:1,1600
2,Tr-DecisionTreeClassifier,0.8290000000000001,0.982,0.723,0.034,0.977,0.7829999999999999,0.987,0.6709999999999999,1,0.3,3,True,False,13.2,1:1,1600
3,Val-DecisionTreeClassifier,0.809,0.978,0.688,0.041,0.972,0.753,0.984,0.634,1,0.3,3,True,False,13.2,1:1,1600
4,Tr-SGDClassifier,0.589,0.971,0.3,0.055,0.945,0.902,0.999,0.18,1,0.3,3,True,False,1.7,1:1,1600
5,Val-SGDClassifier,0.7,0.976,0.561,0.045,0.956,0.926,0.997,0.403,1,0.3,3,True,False,1.7,1:1,1600
6,Tr-GaussianNB,0.838,0.984,0.746,0.031,0.978,0.8170000000000001,0.989,0.6859999999999999,1,0.3,3,True,False,2.1,1:1,1600
7,Val-GaussianNB,0.8340000000000001,0.979,0.718,0.039,0.976,0.755,0.983,0.685,1,0.3,3,True,False,2.1,1:1,1600
8,Tr-AdaBoostClassifier,0.784,0.98,0.674,0.037000000000000005,0.971,0.809,0.99,0.578,1,0.3,3,True,False,39.2,1:1,1600
9,Val-AdaBoostClassifier,0.8140000000000001,0.982,0.735,0.033,0.972,0.873,0.993,0.634,1,0.3,3,True,False,39.2,1:1,1600
10,Val Soft,0.802,0.982,0.7190000000000001,0.034,0.971,0.8740000000000001,0.993,0.611,1,0.3,3,True,False,4.6,1:1,1600
11,Val Hard,0.8009999999999999,0.982,0.7240000000000001,0.033,0.97,0.897,0.995,0.606,1,0.3,3,True,False,4.4,1:1,1600
0,Tr-RandomForestClassifier,0.726,0.978,0.5920000000000001,0.042,0.963,0.835,0.994,0.459,2,0.3,3,True,False,8.0,1:1,1600
1,Val-RandomForestClassifier,0.7340000000000001,0.977,0.614,0.043,0.96,0.879,0.995,0.472,2,0.3,3,True,False,8.0,1:1,1600
2,Tr-DecisionTreeClassifier,0.8240000000000001,0.981,0.7140000000000001,0.035,0.976,0.775,0.986,0.662,2,0.3,3,True,False,13.1,1:1,1600
3,Val-DecisionTreeClassifier,0.81,0.979,0.6990000000000001,0.039,0.972,0.778,0.986,0.634,2,0.3,3,True,False,13.1,1:1,1600
4,Tr-SGDClassifier,0.589,0.971,0.3,0.055,0.945,0.902,0.999,0.18,2,0.3,3,True,False,1.8,1:1,1600
5,Val-SGDClassifier,0.7,0.976,0.561,0.045,0.956,0.926,0.997,0.403,2,0.3,3,True,False,1.8,1:1,1600
6,Tr-GaussianNB,0.8370000000000001,0.983,0.7440000000000001,0.031,0.978,0.8170000000000001,0.989,0.684,2,0.3,3,True,False,2.0,1:1,1600
7,Val-GaussianNB,0.8340000000000001,0.979,0.718,0.039,0.976,0.755,0.983,0.685,2,0.3,3,True,False,2.0,1:1,1600
8,Tr-AdaBoostClassifier,0.7829999999999999,0.98,0.6729999999999999,0.037000000000000005,0.971,0.8109999999999999,0.991,0.5760000000000001,2,0.3,3,True,False,38.3,1:1,1600
9,Val-AdaBoostClassifier,0.8140000000000001,0.982,0.735,0.033,0.972,0.873,0.993,0.634,2,0.3,3,True,False,38.3,1:1,1600
10,Val Soft,0.8029999999999999,0.982,0.723,0.034,0.971,0.8859999999999999,0.994,0.611,2,0.3,3,True,False,4.5,1:1,1600
